,0
CHRM2,0
PLXNC1,2
GABRA4,0
OLFML1,0
RHBDF1,0
C15orf42,0
TMEM59L,0
RSPO2,0
HIP1R,0
EPHB2,0
PCGF2,0
LOC646870,0
BCL2L11,3
PDE1A,0
SNORA7B,1
CLDN11,0
FLRT1,1
GADL1,9
UNC119,0
ACSS1,0
GRIA4,0
ZEB2,2
ZNF486,0
LBX1,5
HOXC8,4
C5orf53,1
SNORD116-28,8
IGF1,8
MGAM,15
ZNF208,2
ACTC1,0
MTSS1L,0
IGHM,0
ADAMTS5,0
SRI,0
TLL1,0
FAM124A,3
CSAG1,0
SCARNA8,0
IRX3,0
PRKCZ,0
SLC16A13,2
NMU,0
SMAD7,0
SNORD113-4,0
HFM1,9
CDKN2A,0
FBXL7,0
HIST1H2BK,4
ENG,2
CENPW,0
CDH4,0
FLJ36116,0
NLK,0
SEMA4G,0
AKR1C1,0
SEMA5A,2
HRSP12,0
FBL,0
IFIT5,0
RFC4,0
APLP1,0
SLC4A11,1
SYT14,0
FSCN1,0
ZNF385B,0
EYS,0
ENPP1,2
LIX1,0
DUSP5P,0
HOXA10,7
SHANK2,0
SYNPO2,0
SMPDL3A,0
EIF5A2,0
NDST4,6
CASC5,0
ZNF229,4
GRID2,0
QTRTD1,0
HJURP,0
CHST8,0
SNORA22,0
TMEM109,1
SERPINB8,3
GAS2L3,0
MIR29C,0
SEC14L2,0
LRRC34,0
GPR183,0
FUT8,0
PLCH1,1
TSPAN4,0
AIM1,0
NEBL,0
LRRN2,0
SNORA74A,1
DUSP4,0
GPX8,0
MGP,1
MAPKAPK2,0
LHFPL3,3
DCTD,0
CA2,0
SPRY3,0
PTP4A3,2
FAM69A,0
BAG3,0
CPT1A,0
MMP11,5
PTCHD2,0
GLT8D2,0
LINGO1,0
TGFBR2,4
DLL3,0
NCRNA00185,7
PPP1R3A,10
LHX2,0
ABCC8,0
VCAN,4
LOC100128816,0
SMPD2,0
LOC401387,1
RBM24,0
ATP2B3,0
GPR68,0
PSTPIP2,0
STK17B,1
DTX4,1
FAM183A,0
MYO5C,0
FOXF2,2
RXRA,0
CD226,0
SRPX2,0
TGFBI,0
KIAA1598,5
CRYM,0
SNORD116-16,3
GABRB3,0
FAM5B,1
PAX6,1
GLTSCR2,1
GAL,0
SFXN3,0
DEPDC4,1
FAM161A,0
SLC12A1,0
CUEDC1,0
DDIT4L,1
SLC27A6,8
DPY19L4,0
E2F3,2
ST6GAL2,0
LOC388022,0
ARRB2,0
FLJ33360,2
IGHA1,0
DDC,0
ASTN1,0
MMP9,1
SNORD115-41,2
LRRC18,4
NCRNA00174,0
SLC8A2,0
FAT3,3
ODC1,0
C14orf148,0
BSG,2
IFITM3,0
ARMCX4,0
NUDT4,0
FLJ35776,0
AMPH,1
CACNB4,0
TMEM169,0
GPD1,4
MRPL11,0
TNS1,0
KCNJ15,14
C3orf34,2
INA,0
PCDHB10,1
CMTM3,0
ECE1,0
C11orf92,0
GLRX,0
C1QTNF2,0
PCDHB16,15
DLX6,2
TRIM68,0
MAD2L1,0
C14orf128,1
SC5DL,0
ANKRD44,0
SSX6,0
RPH3A,0
CCDC88C,0
FMN1,0
TPBG,0
LBH,0
DIRAS2,0
FZD1,0
CDYL2,0
TSGA14,0
CMPK2,0
C14orf106,0
PELI1,0
DOCK1,0
SLCO2A1,1
EIF4EBP1,7
PLEKHG1,0
SASH1,6
C10orf114,1
CENPI,0
ADCYAP1,0
PRRT2,0
LRRCC1,3
C15orf61,0
ZEB1,1
FLJ31958,13
TMEM47,7
CADPS,0
DRP2,0
PPDPF,3
MIR181B2,0
CDHR1,0
KLHL14,12
NELL2,0
POLR1E,0
KLF9,0
TAGLN2,0
ZBTB16,0
EPHA6,6
psiTPTE22,0
TMEM144,0
SAG,0
REST,0
CTSO,4
NSF,0
SCN7A,0
STK32B,0
VWA5B1,3
TP53,0
SLC8A3,0
SMAD3,0
FAM70B,0
TMC3,8
AATF,0
CACNA2D2,0
HOXA7,5
RAPGEF4,1
ABHD6,0
C3orf15,0
PTBP1,0
SNORD6,0
CREG1,0
ACADL,0
ZFP42,3
ZNF724P,0
GDAP1L1,0
SLC30A10,16
STK32A,0
SERPINI1,0
EPHB1,0
ATOH1,0
SLC6A17,0
BDH1,0
HIST1H4C,0
IL11RA,1
KCNMB2,2
CTDSPL,0
TBC1D8,0
GNAT1,0
RDH8,0
SPATA20,0
NPR3,0
ATP2B1,2
FLJ37786,2
DBP,0
KIF21B,0
RERGL,1
ST3GAL6,0
C2CD2,0
FEZF1,1
THBS3,0
TMEM159,0
TNFRSF9,0
SELM,0
PLEKHH2,0
BEST1,0
TOM1L1,0
FLJ34690,0
C7orf13,1
DBF4B,0
PPAP2C,2
ITGB1BP2,0
C18orf2,1
PCBP3,1
DYNC1I1,0
MAN1C1,3
ARHGDIB,2
PLEKHA7,0
CPVL,0
SNORA24,0
NCRNA00189,1
CSRP2,0
BTG2,0
SERPINB1,0
PRKCDBP,0
GDPD3,0
BSX,0
CTSS,0
CCPG1,0
GPR56,0
MYCNOS,2
HIST1H2BG,1
OLFML3,1
GALNTL2,0
FHOD3,0
DCUN1D2,0
ZNF385A,1
SYK,0
PFKFB3,0
S100B,0
CDH22,0
TAP1,0
MSRA,2
DDX60,0
CLN6,3
ATP9A,4
LRRC16B,0
SNORD116-24,0
C1R,1
NDRG3,1
DGKI,0
ARHGEF3,1
DKFZP434L187,0
RAB34,1
MAML2,2
VWDE,2
KCNN3,0
C6orf192,0
CITED1,0
TEKT1,0
ARHGAP28,0
MYO15B,0
MMD,0
KCNS2,18
TAL1,0
ZNF730,0
CHAD,0
SLC6A1,0
PPAP2A,0
PRMT3,0
CHN2,0
ADAMTS17,2
SLC35F1,0
CCDC129,0
CYorf15B,6
PTPMT1,0
ADCYAP1R1,0
HIST1H3A,0
B3GALT5,14
SCARNA7,1
HSD11B2,0
HLA-DMB,0
HS3ST2,0
KCTD12,5
RAB39B,0
RNF182,0
SNORD114-26,0
RRH,0
ADHFE1,0
MIR137,7
IQGAP3,0
PDE6A,0
BBX,0
MAPK8IP1,0
SLC36A1,0
NEDD4,3
F3,0
ANKRD62,7
ADAMTS7,0
USP2,0
TAP2,0
C1orf187,0
MPP3,0
BLID,0
PRAME,12
GSTT1,5
PSMD14,0
CER1,3
SLC38A11,3
GRIK4,0
IL17RB,0
AMFR,0
WDFY2,0
SH3GL3,0
MPP1,1
NQO1,4
FAM20C,0
GOLGA7B,0
DCAF4,1
PLTP,0
KIAA0146,7
TP53I3,3
SLC16A14,0
FAM49A,2
NPNT,1
RCBTB2,0
MLLT6,0
RUNX2,0
A2M,0
DIO2,0
CCDC36,0
KIAA1755,0
TRIM9,1
GPC3,1
MNS1,0
MOXD1,2
TSPYL2,0
TNFRSF1A,1
VAT1L,0
GPRASP1,0
NRIP2,0
TRPA1,9
SP100,0
EDNRB,0
SMC4,0
MT1M,0
ELK3,0
CAMTA2,0
KIAA1467,2
SLC9A6,0
GPR37,0
GRN,0
TRIP10,0
SLC2A14,0
LMX1B,8
UNC5C,0
UBASH3B,0
BCAT1,0
TFAP2A,0
ZFP14,0
