,0
GABRD,0
TRAF3,0
DNAJC3,0
IL1RAPL1,0
ARHGDIG,0
PBK,0
PSRC1,0
MAG,1
GRIN2B,1
MR1,0
RTBDN,1
SYT16,0
PTPN5,0
FNDC3B,1
TRIM32,0
KNTC1,0
STARD9,1
UNC5A,1
KDM4C,0
SLC39A14,0
MMAA,1
LAPTM5,0
LOC100131943,0
FLJ45825,1
PHLDA1,0
NCEH1,0
RGS9,0
TSHR,0
KIRREL,0
BDNF,1
IL33,0
SLC11A1,0
DNAH7,0
B3GAT1,0
C15orf59,1
NAA11,1
RNF207,0
HLF,1
FREM1,1
SCARNA22,0
C1orf51,0
SLC17A6,1
TAPBP,0
ASPM,0
MFAP5,2
SLC6A3,0
C9orf68,0
KLF10,1
IQGAP2,0
TPTE2,0
CHRM2,0
PLXNC1,1
GABRA4,0
OLFML1,0
RHBDF1,0
C15orf42,0
TMEM59L,0
RSPO2,0
HIP1R,0
EPHB2,0
PCGF2,0
LOC646870,0
BCL2L11,1
PDE1A,0
SNORA7B,1
CLDN11,0
FLRT1,1
GADL1,1
UNC119,0
ACSS1,0
GRIA4,0
ZEB2,1
ZNF486,0
LBX1,1
HOXC8,1
C5orf53,1
SNORD116-28,1
IGF1,1
MGAM,2
ZNF208,1
ACTC1,0
MTSS1L,0
IGHM,0
ADAMTS5,0
SRI,0
TLL1,0
FAM124A,1
CSAG1,0
SCARNA8,0
IRX3,0
PRKCZ,0
SLC16A13,1
NMU,0
SMAD7,0
SNORD113-4,0
HFM1,1
CDKN2A,0
FBXL7,0
HIST1H2BK,2
ENG,1
CENPW,0
CDH4,0
FLJ36116,0
NLK,0
SEMA4G,0
AKR1C1,0
SEMA5A,1
HRSP12,0
FBL,0
IFIT5,0
RFC4,0
APLP1,0
SLC4A11,1
SYT14,0
FSCN1,0
ZNF385B,0
EYS,0
ENPP1,1
LIX1,0
DUSP5P,0
HOXA10,1
SHANK2,0
SYNPO2,0
SMPDL3A,0
EIF5A2,0
NDST4,1
CASC5,0
ZNF229,1
GRID2,0
QTRTD1,0
HJURP,0
CHST8,0
SNORA22,0
TMEM109,1
SERPINB8,1
GAS2L3,0
MIR29C,0
SEC14L2,0
LRRC34,0
GPR183,0
FUT8,0
PLCH1,1
TSPAN4,0
AIM1,0
NEBL,0
LRRN2,0
SNORA74A,1
DUSP4,0
GPX8,0
MGP,1
MAPKAPK2,0
LHFPL3,1
DCTD,0
CA2,0
SPRY3,0
PTP4A3,1
FAM69A,0
BAG3,0
CPT1A,0
MMP11,1
PTCHD2,0
GLT8D2,0
LINGO1,0
TGFBR2,1
DLL3,0
NCRNA00185,1
PPP1R3A,1
LHX2,0
ABCC8,0
VCAN,2
LOC100128816,0
SMPD2,0
LOC401387,1
RBM24,0
ATP2B3,0
GPR68,0
PSTPIP2,0
STK17B,1
DTX4,1
FAM183A,0
MYO5C,0
FOXF2,1
RXRA,0
CD226,0
SRPX2,0
TGFBI,0
KIAA1598,2
CRYM,0
SNORD116-16,2
GABRB3,0
FAM5B,1
PAX6,1
GLTSCR2,1
GAL,0
SFXN3,0
DEPDC4,1
FAM161A,0
SLC12A1,0
CUEDC1,0
DDIT4L,1
SLC27A6,2
DPY19L4,0
E2F3,1
ST6GAL2,0
LOC388022,0
ARRB2,0
FLJ33360,1
IGHA1,0
DDC,0
ASTN1,0
MMP9,1
SNORD115-41,1
LRRC18,1
NCRNA00174,0
SLC8A2,0
FAT3,1
ODC1,0
C14orf148,0
BSG,1
IFITM3,0
ARMCX4,0
NUDT4,0
FLJ35776,0
AMPH,1
CACNB4,0
TMEM169,0
GPD1,2
MRPL11,0
TNS1,0
KCNJ15,1
C3orf34,1
INA,0
PCDHB10,1
CMTM3,0
ECE1,0
C11orf92,0
GLRX,0
C1QTNF2,0
PCDHB16,2
DLX6,1
TRIM68,0
MAD2L1,0
C14orf128,1
SC5DL,0
ANKRD44,0
SSX6,0
RPH3A,0
CCDC88C,0
FMN1,0
TPBG,0
LBH,0
DIRAS2,0
FZD1,0
CDYL2,0
TSGA14,0
CMPK2,0
C14orf106,0
PELI1,0
DOCK1,0
SLCO2A1,1
EIF4EBP1,2
PLEKHG1,0
SASH1,1
C10orf114,1
CENPI,0
ADCYAP1,0
PRRT2,0
LRRCC1,1
C15orf61,0
ZEB1,1
FLJ31958,2
TMEM47,1
CADPS,0
DRP2,0
PPDPF,2
MIR181B2,0
CDHR1,0
KLHL14,2
NELL2,0
POLR1E,0
KLF9,0
TAGLN2,0
ZBTB16,0
EPHA6,1
psiTPTE22,0
TMEM144,0
SAG,0
REST,0
CTSO,1
NSF,0
SCN7A,0
STK32B,0
VWA5B1,1
TP53,0
SLC8A3,0
SMAD3,0
FAM70B,0
TMC3,1
AATF,0
CACNA2D2,0
HOXA7,1
RAPGEF4,1
ABHD6,0
C3orf15,0
PTBP1,0
SNORD6,0
CREG1,0
ACADL,0
ZFP42,2
ZNF724P,0
GDAP1L1,0
SLC30A10,2
STK32A,0
SERPINI1,0
EPHB1,0
ATOH1,0
SLC6A17,0
BDH1,0
HIST1H4C,0
IL11RA,1
KCNMB2,1
CTDSPL,0
TBC1D8,0
GNAT1,0
RDH8,0
SPATA20,0
NPR3,0
ATP2B1,1
FLJ37786,2
DBP,0
KIF21B,0
RERGL,1
ST3GAL6,0
C2CD2,0
FEZF1,1
THBS3,0
TMEM159,0
TNFRSF9,0
SELM,0
PLEKHH2,0
BEST1,0
TOM1L1,0
FLJ34690,0
C7orf13,1
DBF4B,0
PPAP2C,1
ITGB1BP2,0
C18orf2,1
PCBP3,1
DYNC1I1,0
MAN1C1,1
ARHGDIB,1
PLEKHA7,0
CPVL,0
SNORA24,0
NCRNA00189,1
CSRP2,0
BTG2,0
SERPINB1,0
PRKCDBP,0
GDPD3,0
BSX,0
CTSS,0
CCPG1,0
GPR56,0
MYCNOS,1
HIST1H2BG,1
OLFML3,1
GALNTL2,0
FHOD3,0
DCUN1D2,0
ZNF385A,1
SYK,0
PFKFB3,0
S100B,0
CDH22,0
TAP1,0
MSRA,1
DDX60,0
CLN6,2
ATP9A,1
LRRC16B,0
SNORD116-24,0
C1R,1
NDRG3,1
DGKI,0
ARHGEF3,1
DKFZP434L187,0
RAB34,1
MAML2,1
VWDE,1
KCNN3,0
C6orf192,0
CITED1,0
TEKT1,0
ARHGAP28,0
MYO15B,0
MMD,0
KCNS2,2
TAL1,0
ZNF730,0
CHAD,0
SLC6A1,0
PPAP2A,0
PRMT3,0
CHN2,0
ADAMTS17,1
SLC35F1,0
CCDC129,0
CYorf15B,1
PTPMT1,0
ADCYAP1R1,0
HIST1H3A,0
B3GALT5,2
SCARNA7,1
HSD11B2,0
HLA-DMB,0
HS3ST2,0
KCTD12,1
RAB39B,0
RNF182,0
SNORD114-26,0
RRH,0
ADHFE1,0
MIR137,2
IQGAP3,0
PDE6A,0
BBX,0
MAPK8IP1,0
SLC36A1,0
NEDD4,1
F3,0
ANKRD62,1
ADAMTS7,0
USP2,0
TAP2,0
C1orf187,0
MPP3,0
BLID,0
PRAME,1
GSTT1,1
PSMD14,0
CER1,1
SLC38A11,1
GRIK4,0
IL17RB,0
AMFR,0
WDFY2,0
SH3GL3,0
MPP1,1
NQO1,1
FAM20C,0
GOLGA7B,0
DCAF4,1
PLTP,0
KIAA0146,1
TP53I3,1
SLC16A14,0
FAM49A,1
NPNT,1
RCBTB2,0
MLLT6,0
RUNX2,0
A2M,0
DIO2,0
CCDC36,0
KIAA1755,0
TRIM9,1
GPC3,1
MNS1,0
MOXD1,2
TSPYL2,0
TNFRSF1A,1
VAT1L,0
GPRASP1,0
NRIP2,0
TRPA1,1
SP100,0
EDNRB,0
SMC4,0
MT1M,0
ELK3,0
CAMTA2,0
KIAA1467,1
SLC9A6,0
GPR37,0
GRN,0
TRIP10,0
SLC2A14,0
LMX1B,1
UNC5C,0
UBASH3B,0
BCAT1,0
TFAP2A,0
ZFP14,0
LRRK1,0
CCDC136,0
WFDC1,0
GNB5,0
OR2J1,2
COL4A5,0
NAP1L3,0
MMP19,0
ANKRD13A,1
GPR34,0
FLJ42393,0
SCUBE3,1
GPHN,0
GUCA1C,2
PLXNA3,0
DLEU2,1
AGPHD1,0
MAST2,0
PDE6B,0
HCN1,0
HMG20B,1
DEPDC1,0
SLC7A2,0
CHODL,0
CROT,0
SYT17,0
SAMD3,1
KIAA1147,0
PHGDH,0
PIGW,0
PRDX4,0
LOC100506581,0
KCNK2,0
CPD,0
MIRLET7G,1
STAB1,0
DRD2,0
CXCL16,0
ARHGAP23,0
GPR160,0
LCP1,0
LRAT,0
PPFIA3,0
CDON,0
SLC25A22,0
ODZ3,0
ACSS3,0
MID1IP1,0
OR9A2,0
ATP8A2,2
PIWIL2,1
ZNF483,0
PODXL,0
GNG2,1
SRRM4,0
STK33,0
STEAP4,0
SVIP,0
CDK14,0
LRRC61,2
FAP,0
CYB5D2,0
FANCF,1
FGGY,0
CBLN2,0
PTPN13,0
PTGS2,0
GALNT9,1
HSD17B6,0
SPTBN2,0
SNORA14A,0
PPFIA2,0
NEFM,0
HIVEP2,0
KIAA2022,0
RAB3C,0
CRYL1,0
ACTN1,0
LPHN1,0
COL21A1,0
MTUS1,1
PNP,0
INPP5J,0
C6orf94,0
AK1,0
LYZ,0
TCTN2,1
GPC2,0
PLAUR,0
GEN1,0
PDE2A,1
LOC440337,0
SIX1,0
CSMD3,0
MPV17L,2
C1QA,0
ENTPD7,1
CENPM,0
FBN3,1
CYP4X1,0
SHROOM2,0
MGAT5B,0
GLIPR1L2,2
GALNTL4,0
LHFPL5,1
FOXM1,0
SLC17A7,0
ZNF204P,0
CREB3L2,0
CHST9,0
KCNH7,0
SLC5A8,0
ONECUT1,0
LOC100129858,0
RNF175,0
GPR155,0
PIGZ,0
LOC150622,0
LRRC38,0
SQLE,0
RCOR2,0
SLC6A15,1
C13orf33,0
LRRFIP1,1
BTBD8,0
FNBP1,0
PLLP,0
HIP1,0
ABTB2,0
BAI2,0
CAT,0
NPY6R,0
FSIP2,1
MTHFD2L,0
ABCA6,0
ZBTB20,0
EEF1DP3,0
KIAA1199,1
ZNF716,0
SCPEP1,0
LRRC6,0
LRCH1,0
TAS2R4,0
MYOT,1
CNTN2,0
CHRNB3,0
C6orf141,1
PCDH18,0
PRG4,2
KCNN1,0
TMEM196,0
HLA-G,0
INPP1,0
CD209,0
FNDC5,0
MLC1,0
ZCCHC12,0
MIR196A2,0
SNORD53,0
GOLIM4,0
ECHDC3,1
PSD2,0
FEZ1,0
PLCL1,0
FAM135B,0
KIF18B,0
ARHGAP29,0
LAMB2,0
TOX,0
ANXA6,1
MIR153-2,0
C8orf73,1
SCML1,0
GPR112,1
SP140L,0
MT3,0
KPNA2,0
KCNC4,0
FANCD2,0
CBFA2T2,1
RNASEH2B,0
MYO7A,0
PRDM5,1
RBMS1,0
PKNOX2,0
SNORD50A,0
RIT2,1
GPR162,0
C17orf85,1
GPR116,0
GRPR,0
LPPR5,0
FOXP1,0
LRP5,1
SMO,0
AQP5,0
FOSL2,0
ADARB1,0
MAGEE2,0
IGDCC4,1
SLC35F4,1
DEPTOR,0
GRM8,0
CYP26B1,1
ORC1,0
RPRM,1
PNPO,0
LY96,1
ARHGAP11A,0
PTPRB,1
ABAT,1
PTPRM,0
SEMA6D,1
MASTL,0
FOXQ1,1
EDN3,0
UBE2L6,0
EZR,0
ANGPT2,0
ANKRD53,0
ARHGEF6,0
TOP1MT,0
ADAM23,1
MUC20,1
ZDBF2,0
PLA2G4A,0
HSD17B14,1
ABLIM3,0
ASPA,0
DBX1,0
SNORA37,0
ZNF677,0
NKIRAS1,0
C3orf59,1
KCNA1,0
BGN,0
OR2J2,0
POLR3G,1
HSPA4L,0
CCDC147,0
ZFP2,0
SEC24D,1
VPS13A,1
SELENBP1,0
PNPLA4,1
THG1L,0
ATN1,0
RAD54L,0
LPP,0
FOXG1,0
EXOG,1
FLJ42418,0
TMEM204,1
IFFO2,0
STX7,1
NFKB2,0
NOL4,0
ARPP21,0
GABRE,0
RCVRN,0
MIR125B1,0
C11orf75,1
C9orf4,0
S100A10,1
SLC5A3,0
KIAA1239,0
SNORA75,1
PTPRG,0
TCF4,0
EML4,0
TMEM55A,0
TGIF2,0
TMEM91,0
PLSCR4,0
CPNE6,0
UCHL1,0
CPLX4,0
TMEM195,0
STMN2,1
ZIC4,0
MYO1C,2
ST6GALNAC2,0
SNORA2A,1
ACCN2,0
LYN,1
C1QBP,1
ATAD2,0
RNU5E,2
CDH8,0
GFPT2,0
HSD17B13,0
DOK4,0
TCEA3,0
TTYH2,1
